name,shirt,team,passes,passes_completed,passing_accuracy_rate,crosses,crossing_accuracy_rate,take_ons_completed,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,position
Rodri,1,ESP,799.0,747.0,93.0,3.0,0.0,2.0,21.0,90.0,11.0,91.0,MF
Pau Cubarsi,2,ESP,690.0,668.0,97.0,1.0,0.0,0.0,7.0,71.0,2.0,100.0,DF
Aymeric Laporte,3,ESP,660.0,618.0,94.0,0.0,0.0,0.0,12.0,58.0,8.0,100.0,DF
Leandro Paredes,4,ARG,565.0,532.0,94.0,2.0,50.0,3.0,8.0,38.0,7.0,100.0,MF
Marc Guehi,5,ENG,532.0,514.0,97.0,0.0,0.0,2.0,10.0,70.0,4.0,75.0,DF
Enzo Fernandez,6,ARG,519.0,480.0,92.0,5.0,40.0,5.0,21.0,71.0,8.0,88.0,MF
Ezri Konsa,7,ENG,488.0,469.0,96.0,3.0,0.0,1.0,3.0,100.0,3.0,67.0,DF
Manuel Akanji,8,SUI,479.0,444.0,93.0,0.0,0.0,0.0,8.0,88.0,8.0,100.0,DF
Marc Cucurella,9,ESP,474.0,433.0,91.0,15.0,20.0,1.0,13.0,54.0,2.0,100.0,DF
Granit Xhaka,10,SUI,470.0,427.0,91.0,4.0,0.0,2.0,15.0,47.0,8.0,100.0,MF
Pedri,11,ESP,469.0,420.0,90.0,14.0,36.0,2.0,16.0,75.0,2.0,100.0,MF
Lisandro Martinez,12,ARG,450.0,422.0,94.0,3.0,0.0,2.0,9.0,67.0,1.0,100.0,DF
Achraf Hakimi,13,MAR,449.0,402.0,90.0,38.0,32.0,11.0,7.0,86.0,6.0,83.0,DF
Elliot Anderson,14,ENG,445.0,396.0,89.0,6.0,50.0,1.0,17.0,71.0,10.0,90.0,MF
Dayot Upamecano,15,FRA,443.0,409.0,92.0,0.0,0.0,2.0,6.0,67.0,4.0,100.0,DF
Nico Elvedi,16,SUI,438.0,406.0,93.0,0.0,0.0,3.0,2.0,50.0,5.0,100.0,DF
Neil El Aynaoui,17,MAR,433.0,405.0,94.0,0.0,0.0,1.0,3.0,0.0,3.0,67.0,MF
Gabriel Magalhaes,18,BRA,431.0,413.0,96.0,0.0,0.0,0.0,2.0,50.0,2.0,100.0,DF
Alexis Mac Allister,19,ARG,430.0,393.0,91.0,1.0,0.0,1.0,3.0,33.0,3.0,100.0,MF
Cristian Romero,19,ARG,430.0,415.0,97.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,DF
Sander Berge,21,NOR,425.0,412.0,97.0,2.0,0.0,1.0,4.0,75.0,2.0,100.0,MF
Pedro Porro,22,ESP,420.0,379.0,90.0,19.0,26.0,3.0,17.0,35.0,9.0,100.0,DF
Michael Olise,23,FRA,417.0,362.0,87.0,20.0,25.0,17.0,28.0,75.0,3.0,100.0,FW
Vitinha,24,POR,403.0,379.0,94.0,0.0,0.0,2.0,7.0,71.0,11.0,100.0,MF
Brandon Mechele,25,BEL,399.0,369.0,92.0,0.0,0.0,1.0,4.0,50.0,2.0,100.0,DF
Ramy Bensebaini,26,ALG,385.0,359.0,93.0,0.0,0.0,1.0,8.0,38.0,1.0,100.0,DF
Aissa Mandi,27,ALG,382.0,357.0,93.0,0.0,0.0,0.0,5.0,20.0,10.0,90.0,DF
Marquinhos,28,BRA,380.0,367.0,97.0,1.0,100.0,0.0,4.0,75.0,6.0,100.0,DF
Jonathan Tah,29,GER,375.0,364.0,97.0,1.0,0.0,1.0,3.0,100.0,1.0,100.0,DF
Joshua Kimmich,30,GER,368.0,336.0,91.0,25.0,20.0,1.0,9.0,56.0,2.0,100.0,DF
Martin Odegaard,31,NOR,367.0,322.0,88.0,16.0,19.0,3.0,18.0,56.0,0.0,0.0,MF
Lionel Messi,31,ARG,367.0,288.0,78.0,46.0,39.0,25.0,36.0,58.0,5.0,80.0,FW
Davinson Sanchez,33,COL,361.0,324.0,90.0,0.0,0.0,1.0,10.0,20.0,6.0,100.0,DF
Jan Paul Van Hecke,34,NED,360.0,335.0,93.0,1.0,0.0,1.0,5.0,60.0,4.0,75.0,DF
Marawan Attia,35,EGY,357.0,313.0,88.0,8.0,38.0,0.0,15.0,47.0,8.0,100.0,MF
Jules Kounde,36,FRA,353.0,314.0,89.0,15.0,13.0,0.0,7.0,43.0,0.0,0.0,DF
