,name,shirt,team,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,position
0,Jude Bellingham,1,ENG,485.0,130.0,258.0,97.0,367.0,118.0,12.0,93.0,183.0,580.0,MF
1,Kylian Mbappe,2,FRA,431.0,191.0,163.0,77.0,282.0,149.0,29.0,165.0,184.0,626.0,FW
2,Rodri,3,ESP,414.0,5.0,122.0,287.0,291.0,123.0,2.0,41.0,258.0,1676.0,MF
3,Marc Cucurella,4,ESP,412.0,165.0,137.0,110.0,90.0,322.0,16.0,118.0,172.0,987.0,DF
4,Enzo Fernandez,5,ARG,374.0,51.0,128.0,195.0,226.0,148.0,4.0,81.0,159.0,1122.0,MF
5,Elliot Anderson,5,ENG,374.0,21.0,84.0,269.0,271.0,103.0,2.0,15.0,188.0,975.0,MF
6,Michael Olise,7,FRA,365.0,75.0,199.0,91.0,234.0,131.0,9.0,140.0,228.0,952.0,FW
7,Pedri,8,ESP,363.0,45.0,146.0,172.0,277.0,86.0,5.0,65.0,180.0,1024.0,MF
8,Bruno Guimaraes,9,BRA,339.0,56.0,156.0,127.0,258.0,81.0,5.0,51.0,92.0,459.0,MF
9,Daniel Munoz,10,COL,338.0,135.0,109.0,94.0,53.0,285.0,8.0,38.0,52.0,461.0,DF
10,Rodrigo De Paul,11,ARG,337.0,34.0,162.0,141.0,146.0,191.0,4.0,43.0,111.0,712.0,MF
11,Neil El Aynaoui,12,MAR,334.0,37.0,99.0,198.0,250.0,84.0,1.0,25.0,154.0,918.0,MF
12,Alex Baena,13,ESP,332.0,151.0,138.0,43.0,180.0,152.0,13.0,141.0,102.0,554.0,MF
13,Granit Xhaka,14,SUI,330.0,5.0,129.0,196.0,231.0,99.0,0.0,35.0,110.0,997.0,MF
14,Martin Odegaard,15,NOR,329.0,29.0,173.0,127.0,212.0,117.0,5.0,99.0,132.0,789.0,MF
15,Remo Freuler,16,SUI,328.0,43.0,138.0,147.0,228.0,100.0,3.0,34.0,105.0,694.0,MF
16,Lamine Yamal,17,ESP,317.0,119.0,164.0,34.0,119.0,198.0,33.0,224.0,188.0,740.0,FW
17,Fabian Ruiz,17,ESP,317.0,43.0,146.0,128.0,218.0,99.0,2.0,41.0,99.0,639.0,MF
18,Azzedine Ounahi,19,MAR,316.0,51.0,144.0,121.0,177.0,139.0,2.0,81.0,126.0,683.0,MF
19,Dani Olmo,20,ESP,314.0,89.0,175.0,50.0,248.0,66.0,4.0,79.0,112.0,537.0,FW
20,Julian Alvarez,21,ARG,299.0,111.0,118.0,70.0,189.0,110.0,3.0,116.0,120.0,494.0,FW
21,Ismael Saibari,22,MAR,298.0,151.0,117.0,30.0,182.0,116.0,9.0,67.0,94.0,246.0,MF
22,Luis Diaz,23,COL,295.0,148.0,121.0,26.0,130.0,165.0,11.0,116.0,104.0,415.0,FW
23,Mikel Oyarzabal,24,ESP,291.0,148.0,129.0,14.0,236.0,55.0,13.0,125.0,132.0,392.0,FW
24,Declan Rice,25,ENG,274.0,31.0,88.0,155.0,175.0,99.0,3.0,28.0,112.0,742.0,MF
25,Alexis Mac Allister,26,ARG,269.0,50.0,97.0,122.0,206.0,63.0,4.0,58.0,195.0,933.0,MF
26,Arda Guler,27,TUR,268.0,40.0,122.0,106.0,157.0,111.0,6.0,46.0,89.0,455.0,FW
27,Vinicius Junior,28,BRA,263.0,104.0,130.0,29.0,113.0,150.0,17.0,93.0,111.0,397.0,FW
28,Pedro Vite,29,ECU,261.0,11.0,108.0,142.0,153.0,108.0,1.0,27.0,83.0,640.0,MF
29,Gustavo Puerta,30,COL,260.0,48.0,108.0,104.0,145.0,115.0,3.0,44.0,116.0,643.0,DF
30,Weston Mckennie,30,USA,260.0,94.0,125.0,41.0,139.0,121.0,14.0,84.0,138.0,497.0,MF
31,Achraf Hakimi,32,MAR,253.0,79.0,114.0,60.0,102.0,151.0,12.0,92.0,167.0,971.0,DF
32,Bruno Fernandes,33,POR,251.0,53.0,135.0,63.0,150.0,101.0,5.0,86.0,115.0,640.0,MF
33,Youri Tielemans,34,BEL,248.0,61.0,87.0,100.0,174.0,74.0,3.0,41.0,125.0,591.0,MF
34,Julian Quinones,34,MEX,248.0,99.0,115.0,34.0,120.0,128.0,6.0,84.0,141.0,355.0,FW
35,Lionel Messi,36,ARG,245.0,59.0,121.0,65.0,157.0,88.0,5.0,151.0,191.0,899.0,FW
36,Jules Kounde,36,FRA,245.0,108.0,54.0,83.0,101.0,144.0,9.0,62.0,71.0,750.0,DF
37,Marawan Attia,36,EGY,245.0,8.0,79.0,158.0,140.0,105.0,0.0,22.0,119.0,749.0,MF
38,Ferran Torres,39,ESP,243.0,118.0,96.0,29.0,204.0,39.0,12.0,96.0,70.0,251.0,FW
39,Emam Ashour,40,EGY,241.0,49.0,128.0,64.0,114.0,127.0,5.0,50.0,85.0,471.0,MF
40,Nahuel Molina,41,ARG,236.0,86.0,89.0,61.0,50.0,186.0,6.0,46.0,104.0,572.0,DF
41,Leandro Paredes,41,ARG,236.0,2.0,40.0,194.0,157.0,79.0,0.0,9.0,58.0,1154.0,MF
42,Adrien Rabiot,43,FRA,235.0,65.0,58.0,112.0,160.0,75.0,8.0,36.0,121.0,769.0,MF
43,Kevin De Bruyne,44,BEL,223.0,76.0,96.0,51.0,126.0,97.0,6.0,61.0,86.0,446.0,MF
44,Florian Wirtz,45,GER,218.0,71.0,100.0,47.0,96.0,122.0,4.0,117.0,99.0,599.0,MF
45,Pedro Porro,46,ESP,215.0,58.0,96.0,61.0,52.0,163.0,9.0,69.0,139.0,896.0,DF
46,Joao Neves,47,POR,214.0,52.0,74.0,88.0,158.0,56.0,2.0,40.0,107.0,558.0,MF
