name,shirt,team,assists,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,position,goals,possession
Michael Olise,1,FRA,7.0,5.0,20.0,0.0,10.0,10.0,0.0,2.34,,25.0,FW,,
Martin Odegaard,2,NOR,4.0,3.0,9.0,0.0,5.0,4.0,0.0,0.72,,12.0,MF,,
Kylian Mbappe,2,FRA,4.0,23.0,41.0,24.0,27.0,14.0,0.0,6.54,,5.0,FW,,
Brahim Diaz,2,MAR,4.0,1.0,6.0,0.0,4.0,2.0,0.0,0.31,,1.0,FW,,
Bruno Guimaraes,2,BRA,4.0,2.0,8.0,0.0,5.0,3.0,1.0,1.02,,8.0,MF,,
Lionel Messi,2,ARG,4.0,19.0,35.0,23.0,16.0,19.0,0.0,6.18,,38.0,FW,,
Roberto Alvarado,7,MEX,3.0,0.0,5.0,0.0,2.0,3.0,0.0,0.28,,14.0,FW,,
Anthony Gordon,7,ENG,3.0,4.0,6.0,17.0,6.0,0.0,2.0,0.7,,0.0,FW,,
Florian Wirtz,7,GER,3.0,1.0,10.0,0.0,5.0,5.0,0.0,0.97,,5.0,MF,,
Andreas Schjelderup,7,NOR,3.0,2.0,3.0,33.0,3.0,0.0,0.0,0.2,,0.0,MF,,
Bukayo Saka,7,ENG,3.0,7.0,13.0,23.0,11.0,2.0,1.0,1.72,,5.0,FW,,
Alexander Isak,7,SWE,3.0,6.0,8.0,13.0,5.0,3.0,1.0,0.68,,0.0,FW,,
Chris Wood,13,NZL,2.0,2.0,5.0,0.0,3.0,2.0,2.0,0.47,,0.0,FW,,
Johan Manzambi,13,SUI,2.0,3.0,6.0,50.0,4.0,2.0,0.0,0.63,,0.0,MF,,
Breel Embolo,13,SUI,2.0,5.0,10.0,20.0,8.0,2.0,2.0,2.58,,0.0,FW,,
Dani Olmo,13,ESP,2.0,2.0,13.0,0.0,7.0,6.0,2.0,1.16,,0.0,FW,,
