Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Algeria,22,4.0,5,44,15,34.1,11.0,3.75,0.11,0.33,0,0
Argentina,24,9.0,18,114,44,38.6,12.67,4.89,0.16,0.41,1,3
Australia,23,4.3,2,42,12,28.6,9.69,2.77,0.05,0.17,0,0
Austria,20,4.0,5,32,8,25.0,8.0,2.0,0.16,0.63,1,1
Belgium,23,6.3,13,112,34,30.4,17.68,5.37,0.12,0.38,1,1
Bosnia-Herzegovina,23,4.0,4,37,14,37.8,9.25,3.5,0.11,0.29,0,0
Brazil,22,5.0,10,74,30,40.5,14.8,6.0,0.14,0.33,1,2
Cabo Verde,21,4.3,4,49,12,24.5,11.31,2.77,0.08,0.33,0,0
Canada,22,5.0,8,80,31,38.8,16.0,6.2,0.1,0.26,0,0
Colombia,21,5.3,5,94,30,31.9,17.62,5.63,0.05,0.17,0,0
Congo DR,21,4.0,5,41,9,22.0,10.25,2.25,0.12,0.56,1,1
Cote d'Ivoire,22,4.0,5,45,14,31.1,11.25,3.5,0.11,0.36,0,0
Croatia,19,4.0,6,37,17,45.9,9.25,4.25,0.16,0.35,0,0
Curacao,22,3.0,1,29,7,24.1,9.67,2.33,0.03,0.14,0,0
Czechia,21,3.0,2,34,8,23.5,11.33,2.67,0.06,0.25,0,0
Ecuador,21,4.0,2,53,20,37.7,13.25,5.0,0.04,0.1,0,0
Egypt,21,5.3,8,67,18,26.9,12.56,3.38,0.12,0.44,0,0
England,24,8.3,20,118,53,44.9,14.16,6.36,0.17,0.38,3,3
France,22,8.0,20,139,59,42.4,17.37,7.37,0.14,0.34,1,2
Germany,23,4.3,11,74,28,37.8,17.08,6.46,0.15,0.39,1,1
Ghana,22,4.0,2,24,4,16.7,6.0,1.0,0.08,0.5,0,0
Haiti,18,3.0,1,31,7,22.6,10.33,2.33,0.03,0.14,0,0
IR Iran,20,3.0,3,37,11,29.7,12.33,3.67,0.08,0.27,0,1
Iraq,25,3.0,1,21,2,9.5,7.0,0.67,0.05,0.5,0,0
Japan,24,4.0,8,34,13,38.2,8.5,3.25,0.24,0.62,0,0
Jordan,20,3.0,3,24,9,37.5,8.0,3.0,0.13,0.33,0,0
Korea Republic,20,3.0,2,32,11,34.4,10.67,3.67,0.06,0.18,0,0
Mexico,25,5.0,10,70,21,30.0,14.0,4.2,0.14,0.48,1,1
Morocco,23,6.3,10,69,26,37.7,10.89,4.11,0.14,0.38,0,0
Netherlands,22,4.3,10,46,22,47.8,10.62,5.08,0.22,0.45,0,0
New Zealand,17,3.0,4,31,15,48.4,10.33,5.0,0.13,0.27,0,0
Norway,25,6.3,12,66,29,43.9,10.42,4.58,0.18,0.41,0,1
Panama,20,3.0,0,32,7,21.9,10.67,2.33,0.0,0.0,0,0
Paraguay,24,5.3,3,35,8,22.9,6.56,1.5,0.09,0.38,0,0
Portugal,22,5.0,7,62,17,27.4,12.4,3.4,0.11,0.41,1,1
Qatar,22,3.0,2,18,7,38.9,6.0,2.33,0.11,0.29,0,0
Saudi Arabia,18,3.0,1,17,7,41.2,5.67,2.33,0.06,0.14,0,0
Scotland,20,3.0,1,29,7,24.1,9.67,2.33,0.03,0.14,0,0
Senegal,22,4.3,10,69,23,33.3,15.92,5.31,0.14,0.43,0,0
South Africa,19,4.0,2,39,11,28.2,9.75,2.75,0.05,0.18,1,1
Spain,22,8.3,13,140,54,38.6,16.8,6.48,0.09,0.24,1,1
Sweden,22,4.0,7,48,23,47.9,12.0,5.75,0.15,0.3,0,0
Switzerland,23,6.7,10,74,30,40.5,11.1,4.5,0.14,0.33,2,2
Tunisia,20,3.0,2,18,6,33.3,6.0,2.0,0.11,0.33,0,0
Turkiye,23,3.0,3,71,16,22.5,23.67,5.33,0.04,0.19,0,0
Uruguay,17,3.0,3,49,13,26.5,16.33,4.33,0.06,0.23,0,0
USA,24,5.0,9,59,19,32.2,11.8,3.8,0.15,0.47,0,0
Uzbekistan,23,3.0,2,18,5,27.8,6.0,1.67,0.11,0.4,0,0
